Permit Number,Status,Permit Type,Permit SubType,Permit Sub Type Description,Date Entered,Date Issued,Parcel,Business Name,Business Owner,Address,City,State,Zip,Council District,Census Tract,Mapped Location
14-20032,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/03/2014,12/18/2014,08313008500,Biscuit Love,Biscuit Love LLC,316  11th ST S,Nashville,TN,37203.00000,6,37019200,"316 11th ST S
Nashville, TN 37203
(36.172768, -86.750545)"
15-17238,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/02/2015,01/29/2015,07107019000,Mary Market,"Rezk, Mamdouh",1905  Meridian ST,Nashville,TN,37207.00000,5,37011300,"1905 Meridian ST
Nashville, TN 37207
(36.205439, -86.765812)"
08-16437,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/24/2008,11/21/2008,04313001900,Shale,"Shale, Inc.",413  Old Hickory BLVD E,Madison,TN,37115.00000,9,37010402,"413 Old Hickory BLVD E
Madison, TN 37115
(36.262768, -86.704807)"
17-25219,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/18/2017,10/12/2017,07206036200,ONTRACK MARKET,On Track Market,3210  GALLATIN PIKE,NASHVILLE,TN,37216.00000,7,37011200,"3210 GALLATIN PIKE
NASHVILLE, TN 37216
(36.207072, -86.735999)"
08-18896,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/18/2008,09/22/2008,09215017200,Samurai,CYH Corporation,2209  Elliston PL,Nashville,TN,37203.00000,21,37016500,"2209 Elliston PL
Nashville, TN 37203
(36.151454, -86.803976)"
10-19208,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/03/2010,11/04/2010,09212037500,Canvas,"Canvas Lounge, LLC",1707  Church ST,Nashville,TN,37203.00000,21,37019500,"1707 Church ST
Nashville, TN 37203
(36.155584, -86.796367)"
17-20469,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/29/2017,04/13/2017,06416000800,JB's Pour House,JB Management LLC,4770  Lebanon PIKE,Hermitage,TN,37076.00000,11,37015401,"4770 Lebanon PIKE
Hermitage, TN 37076
(36.215023, -86.590337)"
14-19861,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/03/2014,03/13/2014,09215021000,Fresh to Order,"F2O Elliston Nashville, LLC",2316  Elliston PL,Nashville,TN,37203.00000,21,37016500,"2316 Elliston PL
Nashville, TN 37203
(36.149392, -86.80623)"
12-19580,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Presidential Mezzanine,"Marriott Hotel Services, Inc.",2800  Opryland DR,Nashville,TN,37214.00000,15,37015300,"2800 Opryland DR
Nashville, TN 37214
(36.210729, -86.696917)"
09-16467,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/30/2009,02/26/2009,08107016000,Titan Deli Market,IBBCO Corporation,2001  DR D B TODD JR BLVD,Nashville,TN,37208.00000,21,37013700,"2001 DR D B TODD JR BLVD
Nashville, TN 37208
(36.182509, -86.812199)"
07-18619,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/12/2006,01/11/2007,09216001800,Loews Vanderbilt (Restaurant),Loews Nashville Hotel Corp.,2100  West End AVE,Nashville,TN,37203.00000,,16500109,"2100 West End AVE
Nashville, TN 37203
(36.150061, -86.802015)"
16-17320,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/17/2016,03/24/2016,06015005700,G-Dragon Mart,GL Mart Inc.,2705  Dickerson PIKE,Nashville,TN,37207.00000,8,37011001,"2705 Dickerson PIKE
Nashville, TN 37207
(36.21596, -86.763674)"
12-19468,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/08/2012,05/24/2012,08600076500,Qdoba Mexican Grill,Qdoba Restaurant Corporation,5225  Old Hickory BLVD,Hermitage,TN,37076.00000,14,37015404,"5225 Old Hickory BLVD
Hermitage, TN 37076
(36.188359, -86.614268)"
12-19513,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/20/2012,09/06/2012,04000015300,El Rey Azteca Mexican Restaura,Manuel Murillo Martinez,7541  Old Hickory BLVD,Whites Creek,TN,37189.00000,3,37010201,"7541 Old Hickory BLVD
Whites Creek, TN 37189
(36.277176, -86.79501)"
17-25238,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/25/2017,10/13/2017,08600015600,MAPCO #1001,,5756  OLD HICKORY BLVD,HERMITAGE,TN,37076.00000,12,37015609,"5756 OLD HICKORY BLVD
HERMITAGE, TN 37076
(36.172932, -86.601967)"
13-19826,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/09/2013,11/22/2013,07300001700,Chuy's,"Chuy's Opco, Inc.",163  Opry Mills DR,Nashville,TN,37214.00000,15,37015300,"163 Opry Mills DR
Nashville, TN 37214
(36.204489, -86.691304)"
05-00730,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,01/27/2005,02/10/2005,08111004300,The Villager Tavern,"MCB, Inc",1719  21st AVE,Nashville,TN,37215.00000,21,37013800,"1719 21st AVE
Nashville, TN 37215
(36.13683, -86.800855)"
13-19786,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/26/2013,09/12/2013,09310030900,Omni Nashville Hotel,Omni Nashville LLC,250  5th AVE S,Nashville,TN,37203.00000,19,19500,"250 5th AVE S
Nashville, TN 37203
(36.157584, -86.776548)"
13-17070,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/21/2013,09/12/2013,06111028100,ET Market Discount Tobacco &,"Amir Iskander, Wahib Iskander",4000  Gallatin PIKE,Nashville,TN,37216.00000,7,37011100,"4000 Gallatin PIKE
Nashville, TN 37216
(36.219849, -86.72728)"
94-14397,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/14/1993,02/01/1994,02200016100,Chips Quik Stop,"William C. Gifford, Jr.",7250  Whites Creek PIKE,Joelton,TN,,1,37010104,"7250 Whites Creek PIKE
Joelton, TN
(36.321563, -86.867526)"
14-20000,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/10/2014,11/06/2014,08309013400,Marche Artisan Foods,Marche Artisan Foods LLC,1000  Main ST,Nashville,TN,37206.00000,6,37019200,"1000 Main ST
Nashville, TN 37206
(36.178338, -86.75134)"
14-19900,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/19/2014,05/29/2014,08305024200,Thai Esane,Thai Esane LLC,907  12th ST S,Nashville,TN,37203.00000,6,37011700,"907 12th ST S
Nashville, TN 37203
(36.164549, -86.749846)"
14-19932,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/29/2014,07/10/2014,07207023100,Mitchell Delicatessen,Mitchell Delicatessen LLC,1306  McGavock PIKE,Nashville,TN,37216.00000,8,11400101,"1306 McGavock PIKE
Nashville, TN 37216
(36.203994, -86.726221)"
13-19815,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/11/2013,10/25/2013,09215013700,Homewood Suites Nashville / Va,"2400 TN West End Avenue, LLC",2400  West End AVE,Nashville,TN,37212.00000,21,37016500,"2400 West End AVE
Nashville, TN 37212
(36.147767, -86.806718)"
13-17064,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/13/2013,08/29/2013,04000020800,Twice Daily,"Tri-Star Energy, LLC",501  Hickory Hills BLVD,Whites Creek,TN,37189.00000,3,37010201,"501 Hickory Hills BLVD
Whites Creek, TN 37189
(36.278114, -86.796422)"
17-17454,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,02/21/2017,03/21/2017,09112002800,Village Market,Parviz Moghaddam,4601  Illinois AVE,Nashville,TN,37209.00000,20,37013300,"4601 Illinois AVE
Nashville, TN 37209
(36.157844, -86.842671)"
14-17161,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,06/04/2014,06/26/2014,06107008800,K&K Market,Habib Habib,4610  Gallatin PIKE,Nashville,TN,37216.00000,7,37011100,"4610 Gallatin PIKE
Nashville, TN 37216
(36.229687, -86.725048)"
12-16941,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/26/2012,10/11/2012,08206004000,Express Mart,"Sai Oil, Inc.",701  Dickerson PIKE,Nashville,TN,37207.00000,5,37012600,"701 Dickerson PIKE
Nashville, TN 37207
(36.183309, -86.773799)"
16-20311,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/16/2016,07/28/2016,05104006600,Da Zone Bar and Lounge,Da Zone Bar and Lounge LLC,103  Webster ST W,Madison,TN,37115.00000,8,37010702,"103 Webster ST W
Madison, TN 37115
(36.25224, -86.718498)"
09-00869,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,09/08/2009,10/01/2009,04216020300,Sir Pizza,"Sir Pizza of Madison, LLC",414  Gallatin PIKE S,Madison,TN,37115.00000,8,37010701,"414 Gallatin PIKE S
Madison, TN 37115
(36.258614, -86.713481)"
17-25110,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/05/2017,07/05/2017,08212032300,EDLEY'S BAR-B-QUE EAST,,908  MAIN ST,NASHVILLE,TN,37206.00000,6,37019200,"908 MAIN ST
NASHVILLE, TN 37206
(36.17625, -86.75647)"
06-16120,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/22/2005,04/11/2006,07202014800,Kroger,Kroger Limited Partnership,3410  Gallatin PIKE,Nashville,TN,37216.00000,7,37011200,"3410 Gallatin PIKE
Nashville, TN 37216
(36.210837, -86.73312)"
00-17677,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/22/2000,12/07/2000,07300001700,Rainforest Cafe,"Rainforest Cafe, Inc.",353  Opry Mills DR,Nashville,TN,37214.00000,15,37015300,"353 Opry Mills DR
Nashville, TN 37214
(36.20342, -86.694789)"
12-19605,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/24/2012,10/11/2012,09306208100,Wildhorse Saloon,"Marriott Hotel Services, Inc.",120  2nd AVE N,Nashville,TN,37201.00000,19,37019500,"120 2nd AVE N
Nashville, TN 37201
(36.162498, -86.775579)"
14-19924,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/06/2013,06/23/2014,08306037900,Two Ten Jack,"Seed Walden, LLC",1900  Eastland AVE  105,Nashville,TN,37206.00000,6,37012100,"1900 Eastland AVE 105
Nashville, TN 37206
(36.182623, -86.735518)"
12-19594,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Festival Grounds,Marriott Hotel Services Inc,2800  Opryland DR,Nashville,TN,37214.00000,15,37015300,"2800 Opryland DR
Nashville, TN 37214
(36.210729, -86.696917)"
03-18088,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/04/2003,09/24/2003,09507015500,Doubletree Guest Suites Hotel,"Nashville Ventures, LLC",2424  Atrium WAY,Nashville,TN,37214.00000,15,37015100,"2424 Atrium WAY
Nashville, TN 37214
(36.159506, -86.690275)"
12-19554,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Findleys Irish Pub,Marriott Hotel Services Inc,2800  Opryland DR,Nashville,TN,37214.00000,15,37015300,"2800 Opryland DR
Nashville, TN 37214
(36.210729, -86.696917)"
16-20240,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/23/2015,02/26/2016,09306104300,Blend Bar with Davidoff Cigars,"Blend Nashville, LLC",508  Church ST,Nashville,TN,37219.00000,19,37019500,"508 Church ST
Nashville, TN 37219
(36.162993, -86.780555)"
12-19592,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Washington B,Marriott Hotel Services Inc,2800  Opryland DR,Nashville,TN,37214.00000,15,37015300,"2800 Opryland DR
Nashville, TN 37214
(36.210729, -86.696917)"
12-19539,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Cheekwood D-E,Marriott Hotel Services Inc.,2800  Opryland DR,Nashville,TN,37214.00000,15,37015300,"2800 Opryland DR
Nashville, TN 37214
(36.210729, -86.696917)"
17-25114,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/07/2017,08/10/2017,07207023000,FORT LOUISE,,1304  MCGAVOCK PIKE,NASHVILLE,TN,37216.00000,7,37011400,"1304 MCGAVOCK PIKE
NASHVILLE, TN 37216
(36.204371, -86.725315)"
16-20341,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/14/2016,09/28/2016,09303012500,DoubleTree by Hilton Hotel,SSH Nashville LLC,315  4th ST N,Nashville,TN,37219.00000,,12400114,"315 4th ST N
Nashville, TN 37219
(36.165393, -86.780063)"
12-19533,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/20/2012,10/11/2012,07300003200,Gaylord Hotel Belmont,Marriott Hotel Services Inc.,2800  Opryland DR,Nashville,TN,37214.00000,15,37015300,"2800 Opryland DR
Nashville, TN 37214
(36.210729, -86.696917)"
17-20485,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/01/2016,04/27/2017,09306208300,Headquarters Beercade,Headquarters Tennessee LLC,114  2nd AVE S,Nashville,TN,37201.00000,19,37019500,"114 2nd AVE S
Nashville, TN 37201
(36.161264, -86.774765)"
17-20407,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/17/2016,01/13/2017,09313010400,Little Octopus,Little Octopus Gulch LLC,505  12th AVE S,Nashville,TN,37203.00000,19,37019500,"505 12th AVE S
Nashville, TN 37203
(36.152151, -86.784573)"
14-17197,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/27/2014,11/20/2014,07106008300,West Trinity Lane Market,Trinity Market LLC,315 W TRINITY LN,NASHVILLE,TN,37207.00000,2,37012701,"315 W TRINITY LN
NASHVILLE, TN 37207
(36.20679, -86.781298)"
14-17111,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,01/29/2014,02/13/2014,04309002000,Cheapest Discount Tobacco & Be,Maged Mikhaeil,341  Gallatin PIKE N,Madison,TN,37115.00000,8,37010402,"341 Gallatin PIKE N
Madison, TN 37115
(36.265383, -86.711134)"
14-17133,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,04/14/2014,05/08/2014,03000007900,Dollar General Store,Dolgencorp LLC,5501  Clarksville PIKE,Nashville,TN,37080.00000,1,37010104,"5501 Clarksville PIKE
Nashville, TN 37080
(36.279733, -86.873977)"
10-16599,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/30/2009,12/31/2009,07214003100,CVS/Pharmacy,Tennessee CVS Pharmacy LLC,2516  Gallatin AVE,Nashville,TN,37206.00000,7,37011700,"2516 Gallatin AVE
Nashville, TN 37206
(36.195985, -86.742574)"
17-20476,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,03/27/2017,04/14/2017,09303011200,Ascend Amphitheater,Legends Music LLC,310  1st ST S,Nashville,TN,37201.00000,6,12500127,"310 1st ST S
Nashville, TN 37201
(36.168162, -86.771702)"
09-16541,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/09/2009,09/30/2009,02600012300,Dollar General,"Dolgencorp, LLC",2174  Gallatin PIKE,Madison,TN,37115.00000,10,37010401,"2174 Gallatin PIKE
Madison, TN 37115
(36.304367, -86.689474)"
16-20327,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/29/2016,08/25/2016,09116030000,Farm Burger,"Farmburger SH, LLC",4013  Charlotte AVE,Nashville,TN,37209.00000,24,37013500,"4013 Charlotte AVE
Nashville, TN 37209
(36.15245, -86.835205)"
09-16548,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/14/2009,10/09/2009,06200024800,Music Valley BP,Hobbs Enterprises LLC,2471  McGavock PIKE,Nashville,TN,37214.00000,15,37015300,"2471 McGavock PIKE
Nashville, TN 37214
(36.217289, -86.699708)"
13-19820,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/14/2013,11/07/2013,09306307200,"Legends Corner, Inc.","Legends Corner, Inc.",428  Broadway,Nashville,TN,37203.00000,19,37019500,"428 Broadway
Nashville, TN 37203
(36.160644, -86.778113)"
12-19420,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/28/2011,02/23/2012,04900020001,Cafe Fontanella,"Fontanel Events, LLC",4127  Whites Creek PIKE,Whites Creek,TN,37189.00000,3,37010106,"4127 Whites Creek PIKE
Whites Creek, TN 37189
(36.257139, -86.830209)"
14-19852,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/13/2014,02/13/2014,07509026800,Koi Restaurant,"Wu's Restaurant, Inc.",4803  Old Hickory BLVD,Hermitage,TN,37076.00000,14,37015402,"4803 Old Hickory BLVD
Hermitage, TN 37076
(36.200003, -86.620735)"
10-19092,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/30/2010,10/14/2010,09216020500,Great American Lounge,"Apple Nine Hospitality Management, Inc.",1715  Broadway,Nashville,TN,37203.00000,19,37019500,"1715 Broadway
Nashville, TN 37203
(36.152344, -86.794989)"
07-18620,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/12/2006,01/11/2007,09216001800,Loews Vanderbilt Hotel (Bar),Loews Nashville Hotel Corp.,2100  West End AVE,Nashville,TN,37203.00000,,16500109,"2100 West End AVE
Nashville, TN 37203
(36.150061, -86.802015)"
94-16208,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,04/05/1994,05/25/1994,09306307700,Jack's On Broadway Bar B Que,"Cawthons Caterer, Inc.",416  Broadway,Nashville,TN,37203.00000,19,37019500,"416 Broadway
Nashville, TN 37203
(36.160709, -86.777954)"
17-25181,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,08/24/2017,09/14/2017,01400001000,MEMORIES BAR,,6597  CLARKSVILLE PIKE,JOELTON,TN,37080.00000,1,37010104,"6597 CLARKSVILLE PIKE
JOELTON, TN 37080
(36.325268, -86.915144)"
17-25070,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/30/2017,07/06/2017,09115037800,MIEL RESTAURANT,,343  53RD AVE N,NASHVILLE,TN,37209.00000,24,37013400,"343 53RD AVE N
NASHVILLE, TN 37209
(36.151327, -86.851113)"
17-25220,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/19/2017,10/12/2017,06008010300,THE FOX DEN,,2900  HILLHURST DR,NASHVILLE,TN,37207.00000,2,37011001,"2900 HILLHURST DR
NASHVILLE, TN 37207
(36.225987, -86.760772)"
11-00149,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor, manufacture",01/11/2011,05/27/2011,09211038600,"Blackstone Brewing Co., LLC","Blackstone Brewing Co., LLC",2312  Clifton AVE,Nashville,TN,37209.00000,21,37014400,"2312 Clifton AVE
Nashville, TN 37209
(36.15791, -86.810061)"
13-19825,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/29/2013,11/21/2013,09401005500,City Fire,"Music City Flats, LLC",610  12th ST S,Nashville,TN,37203.00000,6,37019200,"610 12th ST S
Nashville, TN 37203
(36.168538, -86.749775)"
04-15888,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,03/24/2004,05/07/2004,01700001600,Union Hill Trading Post,William D. Presley,1766  Union Hill RD,Goodlettsville,TN,37072.00000,3,37010202,"1766 Union Hill RD
Goodlettsville, TN 37072
(36.337481, -86.786072)"
12-16974,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,10/26/2012,11/15/2012,07116004700,Lucky 7,Basem Aziz,1303  Jones AVE,Nashville,TN,37207.00000,5,37011300,"1303 Jones AVE
Nashville, TN 37207
(36.194333, -86.759446)"
16-20288,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/23/2016,05/12/2016,09115038300,Bajo Sexto Taco Lounge,Bajo Sexto-Charlotte LLC,5303  Charlotte AVE,Nashville,TN,37209.00000,24,37013400,"5303 Charlotte AVE
Nashville, TN 37209
(36.151722, -86.85162)"
03-18131,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/01/2003,12/18/2003,07500016500,Famous Dave's,"FFD-Hermitage, LLC",5000  Old Hickory BLVD,Hermitage,TN,37076.00000,11,37015404,"5000 Old Hickory BLVD
Hermitage, TN 37076
(36.194988, -86.61887)"
16-00187,ISSUED,BBPERMIT,WHOLESALES,"BB - Wholesale, Distributor, manufacture",10/30/2015,03/30/2016,09315017400,New Heights Brewing Company,New Heights Brewing Company LLC,928  5th AVE S,Nashville,TN,37203.00000,17,37016000,"928 5th AVE S
Nashville, TN 37203
(36.148833, -86.770818)"
17-25021,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,05/17/2017,05/25/2017,09306311200,Pancho & Lefty's Cantina,,104  5TH AVE S,NASHVILLE,TN,37203.00000,19,37019500,"104 5TH AVE S
NASHVILLE, TN 37203
(36.160146, -86.778213)"
17-25113,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,07/06/2017,09/22/2017,07210001400,THE FOX NASHVILLE,,2905  GALLATIN PIKE,NASHVILLE,TN,37216.00000,5,37011400,"2905 GALLATIN PIKE
NASHVILLE, TN 37216
(36.20262, -86.739002)"
08-18928,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/10/2008,11/20/2008,09216029200,Giovanni's,Giovanni's BNA LLC,909  20th AVE S,Nashville,TN,37212.00000,19,14500233,"909 20th AVE S
Nashville, TN 37212
(36.148274, -86.797978)"
15-20097,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/09/2015,04/28/2015,09310003600,Salsa Puerto Rican and Latin C,Salsa Puerto Rican and Latin Cuisine LLC,818  Palmer PL,Nashville,TN,37203.00000,19,37019500,"818 Palmer PL
Nashville, TN 37203
(36.153757, -86.781093)"
15-20127,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/18/2014,06/19/2015,09212047000,Residence Inn by Marriott,Residence Inn by Marriott LLC,1801  Hayes ST,Nashville,TN,37203.00000,21,37019500,"1801 Hayes ST
Nashville, TN 37203
(36.153931, -86.796909)"
00-15265,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,11/16/2000,12/08/2000,07509026400,Hermitage Pure,"Marouf Oil, Inc.",4705  Old Hickory BLVD,Hermitage,TN,37076.00000,14,37015402,"4705 Old Hickory BLVD
Hermitage, TN 37076
"
14-00973,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,10/01/2014,10/23/2014,08212032100,The Filling Station East,The Filling Station of Tennessee LLC,904  Main ST,Nashville,TN,37206.00000,6,37019200,"904 Main ST
Nashville, TN 37206
(36.176151, -86.75673)"
16-17361,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,09/30/2016,11/17/2016,03300008700,Mapco Express #1040,"Mapco Express, Inc",1301  Dickerson PIKE,Goodlettsville,TN,37072.00000,3,37010201,"1301 Dickerson PIKE
Goodlettsville, TN 37072
(36.288466, -86.742884)"
17-25270,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/06/2017,11/16/2017,07300003200,GAYLORD OPRYLAND HOTEL - THE FALLS,,2800  OPRYLAND DR,NASHVILLE,TN,37214.00000,15,37015300,"2800 OPRYLAND DR
NASHVILLE, TN 37214
(36.210729, -86.696917)"
13-17069,ISSUED,BBPERMIT,OFFSALES,BB - Off Site Sales,08/23/2013,09/12/2013,09700009800,D and K Petromart Inc.,D and K Petromart Inc.,5805  Old Hickory BLVD,Hermitage,TN,37076.00000,14,37015610,"5805 Old Hickory BLVD
Hermitage, TN 37076
(36.169143, -86.600704)"
16-20332,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,08/04/2016,08/26/2016,09306200200,Piranha's Bar and Grill,Piranha Restaurants 3rd Ave LLC,174  3rd AVE N,Nashville,TN,37210.00000,19,37019500,"174 3rd AVE N
Nashville, TN 37210
(36.163714, -86.777383)"
13-00946,ISSUED,BBPERMIT,ONOFFSALES,BB - On & Off Site Sales,10/03/2013,10/24/2013,09700000000001,Nashville Shores Marina,"Nashville Shores Holding, LLC",4001  Bell RD,Hermitage,TN,37076.00000,,,"4001 Bell RD
Hermitage, TN 37076
(36.165229, -86.603207)"
16-20225,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/20/2015,01/28/2016,09601014300,Uncle Buds Catfish Chicken & S,"Uncle Buds of Donelson, LLC",2719  Old Lebanon PIKE,Nashville,TN,37214.00000,15,37015300,"2719 Old Lebanon PIKE
Nashville, TN 37214
(36.169764, -86.667591)"
17-25093,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,06/23/2017,08/10/2017,04216021900,VERAPAZ EXPRESS,,110  HARRIS ST,MADISON,TN,37115.00000,9,37010701,"110 HARRIS ST
MADISON, TN 37115
(36.258314, -86.712442)"
02-17954,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/11/2002,10/10/2002,09306205900,El Rey Mexican Restaurant,"El Rey, Inc.",139  2nd AVE N,Nashville,TN,37201.00000,19,37019500,"139 2nd AVE N
Nashville, TN 37201
(36.163056, -86.775935)"
15-20199,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,09/08/2015,10/29/2015,08212033600,The Basement East,The Basement East LP,917  Woodland ST,Nashville,TN,37206.00000,6,37019200,"917 Woodland ST
Nashville, TN 37206
(36.175353, -86.755545)"
17-25287,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,10/20/2017,11/06/2017,09515000100,HILTON NASHVILLE AIRPORT HOTEL,,2200  ELM HILL PIKE,NASHVILLE,TN,37214.00000,15,37015100,"2200 ELM HILL PIKE
NASHVILLE, TN 37214
(36.152966, -86.689527)"
14-20034,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/14/2014,12/19/2014,09306210200,ACME Feed & Seed,ACME Nashville LLC,101  Broadway,Nashville,TN,37201.00000,19,37019500,"101 Broadway
Nashville, TN 37201
(36.162225, -86.774484)"
08-18932,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/07/2008,11/21/2008,09216029300,The Bound'ry,"The Boundry #2, Inc.",911  20th AVE S,Nashville,TN,37212.00000,19,37019500,"911 20th AVE S
Nashville, TN 37212
(36.148193, -86.797988)"
98-17277,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/29/1997,02/12/1998,09306209600,Hard Rock Cafe,"Hard Rock Cafe International (STP), Inc.",100  Broadway,Nashville,TN,37201.00000,19,14600135,"100 Broadway
Nashville, TN 37201
(36.162212, -86.774512)"
07-18613,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,12/07/2006,01/11/2007,09306206900001,The Old Spaghetti Factory,"OSF International, Inc.",160  2nd AVE N,Nashville,TN,37201.00000,,,"160 2nd AVE N
Nashville, TN 37201
(36.163631, -86.77629)"
15-20082,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,01/23/2015,04/09/2015,08309018500,Margot Cafe & Bar,Rustic Restaurant LLC,1017  Woodland ST,Nashville,TN,37206.00000,6,37019200,"1017 Woodland ST
Nashville, TN 37206
(36.17741, -86.750278)"
16-20374,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,11/14/2016,12/07/2016,09313001000,Frisky Frogs Nashville,JCJ Productions LLC,1530  Demonbreun ST,Nashville,TN,37203.00000,19,37019500,"1530 Demonbreun ST
Nashville, TN 37203
(36.152608, -86.790693)"
13-19742,ISSUED,BBPERMIT,ONSALES,BB - On Site Sales,02/22/2013,06/13/2013,09311017200,Husk,"Husk Nash, Inc.",37  Rutledge ST,Nashville,TN,37210.00000,19,37019500,"37 Rutledge ST
Nashville, TN 37210
(36.155421, -86.769591)"
